term,ipa,method,confidence,needs_review,notes
Meta-Search engine,/ˈmiːtə ˈsɜrtʃ ˈɛndʒən/,multi,high,no,
method,/ˈmɛθəd/,cmudict,high,no,
Metropolitan Area Network,/ˌmɛtrəˈpɑlətən ˈɛriːə ˈnɛtˌwɜrk/,multi,high,no,
Microsoft Disk Operating System,/ˈmaɪkˌroʊˈsɔft ˈdɪsk ˈɑpərˌeɪtɪŋ ˈsɪstəm/,multi,high,no,
Microsoft Word,/ˈmaɪkˌroʊˈsɔft ˈwɜrd/,multi,high,no,
miner,/ˈmaɪnər/,cmudict,high,no,
Multi-Factor Authentication,/ˈmʌltiː ˈfæktər ɔˌθɛntəˈkeɪʃən/,multi,high,no,
multi-tasking,/ˈmʌltiː ˈtæskɪŋ/,multi,high,no,
multiplication,/ˌmʌltəpləˈkeɪʃən/,cmudict,high,no,
nested folders,/ˈnɛstəd ˈfoʊldərz/,multi,high,no,
network engineer,/ˈnɛtˌwɜrk ˈɛndʒəˈnɪr/,multi,high,no,
network security,/ˈnɛtˌwɜrk sɪkˈjʊrətiː/,multi,high,no,
network topology,/ˈnɛtˌwɜrk təˈpɔlədʒiː/,multi,high,no,
network-based firewall,/ˈnɛtˌwɜrk ˈbeɪst ˈfaɪrwɑl/,multi,high,no,
neural network,/ˈnʊrəl ˈnɛtˌwɜrk/,multi,high,no,
Neural Networks,/ˈnʊrəl ˈnɛtˌwɜrks/,multi,high,no,
node,/ˈnoʊd/,cmudict,high,no,
non-volatile,/ˈnɑn ˈvɑlətəl/,multi,high,no,
object,/ˈɑbdʒɛkt/,cmudict,high,no,
Object-Oriented Programming,/ˈɑbdʒɛkt ˈɔriːˌɛntəd ˈproʊɡˌræmɪŋ/,multi,high,no,
office suite,/ˈɔfəs ˈswiːt/,multi,high,no,
Open System Interconnection,/ˈoʊpən ˈsɪstəm ˌɪntərkəˈnɛkʃən/,multi,high,no,
open-source software,/ˈoʊpən ˈsɔrs ˈsɔftˌwɛr/,multi,high,no,
Operating System,/ˈɑpərˌeɪtɪŋ ˈsɪstəm/,multi,high,no,
organic results,/ɔrˈɡænɪk rɪˈzʌlts/,multi,high,no,
output unit,/ˈaʊtˌpʊt ˈjuːnət/,multi,high,no,
overwriting virus,/ˌoʊvərˈraɪtɪŋ ˈvaɪrəs/,multi,high,no,
packet filtering,/ˈpækət ˈfɪltərɪŋ/,multi,high,no,
packet switching,/ˈpækət ˈswɪtʃɪŋ/,multi,high,no,
page source code,/ˈpeɪdʒ ˈsɔrs ˈkoʊd/,multi,high,no,
particle,/ˈpɑrtəkəl/,cmudict,high,no,
partition,/pɑrˈtɪʃən/,cmudict,high,no,
password,/ˈpæsˌwɜrd/,cmudict,high,no,
payload,/ˈpeɪˌloʊd/,cmudict,high,no,
peer-to-peer architecture,/ˈpɪr ˈtuː ˈpɪr ˈɑrkəˌtɛktʃər/,multi,high,no,
pen tester,/ˈpɛn ˈtɛstər/,multi,high,no,
performance,/pərˈfɔrməns/,cmudict,high,no,
peripherals,/pərˈɪfərəlz/,cmudict,high,no,
Personal Area Network,/ˈpɜrsɪnɪl ˈɛriːə ˈnɛtˌwɜrk/,multi,high,no,
Personal Computer,/ˈpɜrsɪnɪl kəmpˈjuːtər/,multi,high,no,
pervasive computing,/pərˈveɪsɪv kəmpˈjuːtɪŋ/,multi,high,no,
piggybacking,/ˈpɪɡiːˌbækɪŋ/,cmudict,high,no,
pit,/ˈpɪt/,cmudict,high,no,
platter,/ˈplætər/,cmudict,high,no,
polymorphism,/ˌpɑliːˈmɔrfɪzəm/,cmudict,high,no,
power-supply unit,/ˈpaʊər səpˈlaɪ ˈjuːnət/,multi,high,no,
preemptive multitasking,/priːˈɛmptɪv ˈmʌltiːˌtæskɪŋ/,multi,high,no,
primary storage,/ˈpraɪˌmɛriː ˈstɔrədʒ/,multi,high,no,
Programmable Read-Only Memory,/ˈproʊɡˌræməbəl ˈrɛd ˈoʊnliː ˈmɛməriː/,multi,high,no,
project manager,/ˈprɑdʒɛkt ˈmænədʒər/,multi,high,no,
proprietary software,/prəpˈraɪəˌtɛriː ˈsɔftˌwɛr/,multi,high,no,
protocol,/ˈproʊtəˌkɑl/,cmudict,high,no,
punched card,/ˈpʌntʃt ˈkɑrd/,multi,high,no,
query,/ˈkwiːriː/,cmudict,high,no,
Random Access Memory,/ˈrændəm ˈækˌsɛs ˈmɛməriː/,multi,high,no,
ranking,/ˈræŋkɪŋ/,cmudict,high,no,
raw data,/ˈrɑ ˈdeɪtə/,multi,high,no,
Read-Only Memory,/ˈrɛd ˈoʊnliː ˈmɛməriː/,multi,high,no,
read-write head,/ˈrɛd ˈraɪt ˈhɛd/,multi,high,no,
Recurrent Neural Network,/rɪˈkɜrənt ˈnʊrəl ˈnɛtˌwɜrk/,multi,high,no,
"registers (IR, PC)",/ˈrɛdʒəstərz/,cmudict,high,no,отсечена скобочная расшифровка
relevant result,/ˈrɛləvənt rɪˈzʌlt/,multi,high,no,
remote access,/rɪˈmoʊt ˈækˌsɛs/,multi,high,no,
reproduction routine,/ˌriːprəˈdʌkʃən ruːˈtiːn/,multi,high,no,
request,/rɪkˈwɛst/,cmudict,high,no,
request/ query/ search string,/rɪkˈwɛst ˈkwiːriː ˈsɜrtʃ ˈstrɪŋ/,multi,high,no,
responsive design,/rɪsˈpɑnsɪv dɪˈzaɪn/,multi,high,no,
ring topology,/ˈrɪŋ təˈpɔlədʒiː/,multi,high,no,
robotics,/ˌroʊˈbɑtɪks/,cmudict,high,no,
router,/ˈruːtər/,cmudict,high,no,
salami shaving,/səˈlɑmiː ˈʃeɪvɪŋ/,multi,high,no,
satellite connection,/ˈsætəˌlaɪt kəˈnɛkʃən/,multi,high,no,
satellite Internet access,/ˈsætəˌlaɪt ˈɪntərˌnɛt ˈækˌsɛs/,multi,high,no,
search bar,/ˈsɜrtʃ ˈbɑr/,multi,high,no,
search box/ search bar,/ˈsɜrtʃ ˈbɑks ˈsɜrtʃ ˈbɑr/,multi,high,no,
search engine,/ˈsɜrtʃ ˈɛndʒən/,multi,high,no,
Search Engine Optimization,/ˈsɜrtʃ ˈɛndʒən ɑptəməˈzeɪʃən/,multi,high,no,
search index,/ˈsɜrtʃ ˈɪndɛks/,multi,high,no,
Secure Sockets Layer,/sɪkˈjʊr ˈsɑkəts ˈleɪər/,multi,high,no,
security measures,/sɪkˈjʊrətiː ˈmɛʒərz/,multi,high,no,
security specialist,/sɪkˈjʊrətiː ˈspɛʃələst/,multi,high,no,
semiconductor,/ˌsɛmiːkənˈdʌktər/,cmudict,high,no,
semiconductor technology,/ˌsɛmiːkənˈdʌktər tɛkˈnɑlədʒiː/,multi,high,no,
sensitive data,/ˈsɛnsətɪv ˈdeɪtə/,multi,high,no,
session layer,/ˈsɛʃən ˈleɪər/,multi,high,no,
shading,/ˈʃeɪdɪŋ/,cmudict,high,no,
shareware,/ˈʃɛrˌwɛr/,cmudict,high,no,
signature,/ˈsɪɡnətʃər/,cmudict,high,no,
signature-based scanning,/ˈsɪɡnətʃər ˈbeɪst ˈskænɪŋ/,multi,high,no,
silicon,/ˈsɪləkən/,cmudict,high,no,
Simple Mail Transfer Protocol,/ˈsɪmpəl ˈmeɪl trænsˈfɜr ˈproʊtəˌkɑl/,multi,high,no,
Simultaneous Multi-threading Technology,/ˌsaɪməlˈteɪniːəs ˈmʌltiː ˈθrɛdɪŋ tɛkˈnɑlədʒiː/,multi,high,no,
smart home,/ˈsmɑrt ˈhoʊm/,multi,high,no,
smart home appliances,/ˈsmɑrt ˈhoʊm əpˈlaɪənsəz/,multi,high,no,
software,/ˈsɔftˌwɛr/,cmudict,high,no,
software engineer,/ˈsɔftˌwɛr ˈɛndʒəˈnɪr/,multi,high,no,
software piracy,/ˈsɔftˌwɛr ˈpaɪrəsiː/,multi,high,no,
Solid State Drive,/ˈsɑləd ˈsteɪt ˈdraɪv/,multi,high,no,
solid state technology,/ˈsɑləd ˈsteɪt tɛkˈnɑlədʒiː/,multi,high,no,
source code,/ˈsɔrs ˈkoʊd/,multi,high,no,
speakers,/ˈspiːkərz/,cmudict,high,no,
spider,/ˈspaɪdər/,cmudict,high,no,
spreadsheets,/ˈsprɛdˌʃiːts/,cmudict,high,no,
star topology,/ˈstɑr təˈpɔlədʒiː/,multi,high,no,
Static Random Access Memory,/ˈstætɪk ˈrændəm ˈækˌsɛs ˈmɛməriː/,multi,high,no,
storage device,/ˈstɔrədʒ dɪˈvaɪs/,multi,high,no,
storage medium,/ˈstɔrədʒ ˈmiːdiːəm/,multi,high,no,
streaming video,/ˈstriːmɪŋ ˈvɪdiːoʊ/,multi,high,no,
Structured Query Language,/ˈstrʌktʃərd ˈkwiːriː ˈlæŋɡwədʒ/,multi,high,no,
subscribers,/səbskˈraɪbərz/,cmudict,high,no,
supercomputer,/ˌsuːpərkəmpˈjuːtər/,cmudict,high,no,
supervisor program,/ˈsuːpərˌvaɪzər ˈproʊɡˌræm/,multi,high,no,
switch,/ˈswɪtʃ/,cmudict,high,no,
syntax,/ˈsɪnˌtæks/,cmudict,high,no,
system administrator,/ˈsɪstəm ədˈmɪnəstˌreɪtər/,multi,high,no,
system clock,/ˈsɪstəm ˈklɑk/,multi,high,no,
system unit,/ˈsɪstəm ˈjuːnət/,multi,high,no,
tab,/ˈtæb/,cmudict,high,no,
tablet,/ˈtæblət/,cmudict,high,no,
technical support specialist,/ˈtɛknɪkəl səˈpɔrt ˈspɛʃələst/,multi,high,no,
template,/ˈtɛmplət/,cmudict,high,no,
the Internet of Things,/ðə ˈɪntərˌnɛt ˈʌv ˈθɪŋz/,multi,high,no,
the Transmission Control Protocol and the Internet Protocol,/ðə trænsˈmɪʃən kəntˈroʊl ˈproʊtəˌkɑl ənd ðə ˈɪntərˌnɛt ˈproʊtəˌkɑl/,multi,high,no,
to archive,/ˈtuː ˈɑrˌkaɪv/,multi,high,no,
to click a suspicious link,/ˈtuː ˈklɪk ə səsˈpɪʃəs ˈlɪŋk/,multi,high,no,
to deny access,/ˈtuː dɪˈnaɪ ˈækˌsɛs/,multi,high,no,
to edit,/ˈtuː ˈɛdət/,multi,high,no,
to encrypt data,/ˈtuː ɛnkˈrɪpt ˈdeɪtə/,multi,high,no,
to erase/ delete/ remove,/ˈtuː ɪˈreɪs dɪˈliːt riːˈmuːv/,multi,high,no,
to prevent an unauthorized access,/ˈtuː prɪˈvɛnt ˈæn əˈnɔθərˌaɪzd ˈækˌsɛs/,multi,high,no,
to rank high,/ˈtuː ˈræŋk ˈhaɪ/,multi,high,no,
to run an infected program,/ˈtuː ˈrʌn ˈæn ɪnˈfɛktəd ˈproʊɡˌræm/,multi,high,no,
to spread/ propagate viruses,/ˈtuː ˈsprɛd ˈprɑpəˌɡeɪt ˈvaɪrəsəz/,multi,high,no,
touch screen,/ˈtʌtʃ ˈskriːn/,multi,high,no,
track,/ˈtræk/,cmudict,high,no,
transfer rate,/trænsˈfɜr ˈreɪt/,multi,high,no,
trigger,/ˈtrɪɡər/,cmudict,high,no,
Trojan,/ˈtroʊdʒən/,cmudict,high,no,
twisted-pair cable,/ˈtwɪstəd ˈpɛr ˈkeɪbəl/,multi,high,no,
Two-Factor Authentication,/ˈtuː ˈfæktər ɔˌθɛntəˈkeɪʃən/,multi,high,no,
unauthorized access,/əˈnɔθərˌaɪzd ˈækˌsɛs/,multi,high,no,
Uniform Resource Locator,/ˈjuːnəˌfɔrm ˈriːsɔrs ˈloʊˌkeɪtər/,multi,high,no,
Universal Automatic Computer,/ˌjuːnəˈvɜrsəl ˌɔtəˈmætɪk kəmpˈjuːtər/,multi,high,no,
Universal Serial Bus,/ˌjuːnəˈvɜrsəl ˈsɪriːəl ˈbʌs/,multi,high,no,
user interface,/ˈjuːzər ˈɪntərˌfeɪs/,multi,high,no,
vacuum tubes,/ˈvækjuːm ˈtuːbz/,multi,high,no,
virtual circuit switching,/ˈvɜrtʃuːəl ˈsɜrkət ˈswɪtʃɪŋ/,multi,high,no,
virtual keyboard,/ˈvɜrtʃuːəl ˈkiːˌbɔrd/,multi,high,no,
Virtual Reality,/ˈvɜrtʃuːəl riːˈælətiː/,multi,high,no,
virtual reality,/ˈvɜrtʃuːəl riːˈælətiː/,multi,high,no,
virus,/ˈvaɪrəs/,cmudict,high,no,
volatile,/ˈvɑlətəl/,cmudict,high,no,
voltage,/ˈvoʊltədʒ/,cmudict,high,no,
vulnerability,/ˌvʌlnərəˈbɪlɪtiː/,cmudict,high,no,
Web Application Protection Firewall,/ˈwɛb ˌæpləˈkeɪʃən prəˈtɛkʃən ˈfaɪrwɑl/,multi,high,no,
web browser,/ˈwɛb ˈbraʊzər/,multi,high,no,
web developer,/ˈwɛb dɪˈvɛləpər/,multi,high,no,
web page,/ˈwɛb ˈpeɪdʒ/,multi,high,no,
website builder,/ˈwɛbˌsaɪt ˈbɪldər/,multi,high,no,
weight,/ˈweɪt/,cmudict,high,no,
What You See Is What You Get,/ˈwʌt ˈjuː ˈsiː ˈɪz ˈwʌt ˈjuː ˈɡɛt/,multi,high,no,
Wide Area Network,/ˈwaɪd ˈɛriːə ˈnɛtˌwɜrk/,multi,high,no,
Windows Icons Menus Pointer,/ˈwɪndoʊz ˈaɪˌkɑnz ˈmɛnjuːz ˈpɔɪntər/,multi,high,no,
Wireless Fidelity,/ˈwaɪrlɪs fəˈdɛlətiː/,multi,high,no,
Wireless Local Area Network,/ˈwaɪrlɪs ˈloʊkəl ˈɛriːə ˈnɛtˌwɜrk/,multi,high,no,
word processor,/ˈwɜrd ˈprɑˌsɛsər/,multi,high,no,
World Wide Web,/ˈwɜrld ˈwaɪd ˈwɛb/,multi,high,no,
worm,/ˈwɜrm/,cmudict,high,no,
write-back cache,/ˈraɪt ˈbæk ˈkæʃ/,multi,high,no,
write-through cache,/ˈraɪt ˈθruː ˈkæʃ/,multi,high,no,
Yet Another iNDEXer,/ˈjɛt əˈnʌðər ˈɪnˌdɛksər/,multi,high,no,
